,year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,update_date
157,2022,1,เชียงใหม่,1422,1494,1409,1478,7,7,2023-06-19 12:07:27
158,2022,2,อุทัยธานี,109,241,109,241,1,2,2023-06-19 12:07:27
159,2022,2,อุดรธานี,1035,1882,1031,1872,0,0,2023-06-19 12:07:27
160,2022,2,ทั้งประเทศ,55369,92973,53168,89104,103,218,2023-06-19 12:07:27
161,2022,2,สกลนคร,334,542,334,540,0,0,2023-06-19 12:07:27
162,2022,2,นนทบุรี,2542,3508,2539,3504,0,0,2023-06-19 12:07:27
163,2022,2,ตรัง,223,525,221,518,2,6,2023-06-19 12:07:27
164,2022,2,สระบุรี,509,759,509,759,2,4,2023-06-19 12:07:27
165,2022,2,อุตรดิตถ์,103,180,102,179,1,2,2023-06-19 12:07:27
166,2022,2,มหาสารคาม,467,997,463,991,0,0,2023-06-19 12:07:27
167,2022,2,ระนอง,128,176,124,170,0,0,2023-06-19 12:07:27
168,2022,2,นครศรีธรรมราช,1315,2446,1315,2445,2,3,2023-06-19 12:07:27
169,2022,2,สมุทรสาคร,866,1210,865,1209,0,1,2023-06-19 12:07:27
170,2022,2,นครพนม,350,478,350,478,0,0,2023-06-19 12:07:27
171,2022,2,ราชบุรี,273,505,273,505,0,6,2023-06-19 12:07:27
172,2022,2,ภูเก็ต,4333,6261,3127,4493,2,2,2023-06-19 12:07:27
173,2022,2,เชียงราย,327,501,321,482,3,7,2023-06-19 12:07:27
174,2022,2,นราธิวาส,49,113,47,111,0,0,2023-06-19 12:07:27
175,2022,2,จันทบุรี,385,596,384,594,2,2,2023-06-19 12:07:27
176,2022,2,นครนายก,317,424,317,424,0,0,2023-06-19 12:07:27
177,2022,2,ฉะเชิงเทรา,545,978,544,973,1,3,2023-06-19 12:07:27
178,2022,2,ร้อยเอ็ด,452,831,451,829,4,4,2023-06-19 12:07:27
179,2022,2,พิจิตร,133,197,133,197,0,0,2023-06-19 12:07:27
180,2022,2,กาฬสินธุ์,365,817,365,815,0,0,2023-06-19 12:07:27
181,2022,2,ชุมพร,313,572,313,572,0,0,2023-06-19 12:07:27
182,2022,2,ลำปาง,337,632,337,631,1,4,2023-06-19 12:07:27
183,2022,2,สงขลา,629,1064,625,1060,4,8,2023-06-19 12:07:27
184,2022,2,แพร่,109,180,109,179,1,1,2023-06-19 12:07:27
185,2022,2,พังงา,505,802,447,688,0,1,2023-06-19 12:07:27
186,2022,2,สุราษฎร์ธานี,1033,1608,921,1355,1,4,2023-06-19 12:07:27
187,2022,2,อุบลราชธานี,2310,5054,2306,5044,2,5,2023-06-19 12:07:27
188,2022,2,ปทุมธานี,1251,1588,1250,1584,0,0,2023-06-19 12:07:27
189,2022,2,อ่างทอง,96,154,96,154,1,1,2023-06-19 12:07:27
190,2022,2,ลำพูน,81,146,81,145,0,0,2023-06-19 12:07:27
191,2022,2,น่าน,509,709,509,709,0,0,2023-06-19 12:07:27
192,2022,2,ไม่ระบุ,0,0,0,0,0,0,2023-06-19 12:07:27
193,2022,2,สิงห์บุรี,95,124,95,123,0,1,2023-06-19 12:07:27
194,2022,2,ขอนแก่น,1868,3345,1862,3335,0,4,2023-06-19 12:07:27
195,2022,2,สุโขทัย,97,168,96,166,0,1,2023-06-19 12:07:27
196,2022,2,นครปฐม,582,809,582,809,2,2,2023-06-19 12:07:27
197,2022,2,บุรีรัมย์,1039,1669,1039,1664,1,3,2023-06-19 12:07:27
198,2022,2,สมุทรปราการ,4598,6951,4518,6766,1,2,2023-06-19 12:07:27
199,2022,2,สุรินทร์,686,842,680,827,0,0,2023-06-19 12:07:27
200,2022,2,สระแก้ว,271,474,269,469,0,0,2023-06-19 12:07:27
201,2022,2,สมุทรสงคราม,77,140,77,140,0,0,2023-06-19 12:07:27
202,2022,2,ชัยนาท,91,200,91,200,0,0,2023-06-19 12:07:27
203,2022,2,ตราด,302,526,283,481,1,1,2023-06-19 12:07:27
204,2022,2,ประจวบคีรีขันธ์,550,908,514,841,0,0,2023-06-19 12:07:27
205,2022,2,พิษณุโลก,589,885,589,885,3,6,2023-06-19 12:07:27
206,2022,2,ปราจีนบุรี,311,619,311,619,2,2,2023-06-19 12:07:27
207,2022,2,บึงกาฬ,125,275,125,273,0,1,2023-06-19 12:07:27
208,2022,2,ระยอง,1085,1838,1076,1819,1,2,2023-06-19 12:07:27
209,2022,2,ศรีสะเกษ,916,1232,914,1229,2,2,2023-06-19 12:07:27
210,2022,2,ปัตตานี,120,302,119,300,2,7,2023-06-19 12:07:27
211,2022,2,อำนาจเจริญ,126,253,126,252,0,0,2023-06-19 12:07:27
212,2022,2,ตาก,229,504,229,501,0,4,2023-06-19 12:07:27
213,2022,2,กำแพงเพชร,221,348,221,347,2,2,2023-06-19 12:07:27
214,2022,2,ลพบุรี,501,684,500,683,1,4,2023-06-19 12:07:27
215,2022,2,เชียงใหม่,1441,2935,1417,2895,7,14,2023-06-19 12:07:27
216,2022,2,กรุงเทพมหานคร,5249,9032,4975,8489,9,20,2023-06-19 12:07:27
217,2022,2,พัทลุง,459,905,459,905,1,2,2023-06-19 12:07:27
218,2022,2,มุกดาหาร,212,385,212,385,0,0,2023-06-19 12:07:27
219,2022,2,พระนครศรีอยุธยา,448,693,448,693,2,2,2023-06-19 12:07:27
220,2022,2,นครราชสีมา,942,1311,939,1308,7,14,2023-06-19 12:07:27
221,2022,2,ยะลา,75,221,75,221,4,7,2023-06-19 12:07:27
222,2022,2,กาญจนบุรี,396,641,396,640,1,3,2023-06-19 12:07:27
223,2022,2,เลย,317,406,317,406,1,3,2023-06-19 12:07:27
224,2022,2,เพชรบุรี,269,423,263,413,1,2,2023-06-19 12:07:27
225,2022,2,ชัยภูมิ,245,508,245,507,2,3,2023-06-19 12:07:27
226,2022,2,กระบี่,435,696,363,576,0,3,2023-06-19 12:07:27
227,2022,2,หนองคาย,416,641,416,640,0,0,2023-06-19 12:07:27
228,2022,2,ยโสธร,278,458,278,457,0,0,2023-06-19 12:07:27
229,2022,2,แม่ฮ่องสอน,120,243,120,243,3,5,2023-06-19 12:07:27
230,2022,2,สุพรรณบุรี,302,417,302,413,1,2,2023-06-19 12:07:27
231,2022,2,ชลบุรี,5567,10934,5330,10398,9,10,2023-06-19 12:07:27
232,2022,2,นครสวรรค์,443,761,439,757,1,6,2023-06-19 12:07:27
233,2022,2,สตูล,125,276,122,265,5,11,2023-06-19 12:07:27
234,2022,2,หนองบัวลำภู,205,304,205,304,0,0,2023-06-19 12:07:27
235,2022,2,พะเยา,334,514,334,514,0,0,2023-06-19 12:07:27
236,2022,2,เพชรบูรณ์,279,497,279,496,1,1,2023-06-19 12:07:27
237,2022,3,ฉะเชิงเทรา,591,1569,591,1564,0,3,2023-06-19 12:07:27
238,2022,3,อุตรดิตถ์,103,283,103,282,0,2,2023-06-19 12:07:27
239,2022,3,ลพบุรี,704,1388,704,1387,0,4,2023-06-19 12:07:27
240,2022,3,อำนาจเจริญ,116,369,115,367,0,0,2023-06-19 12:07:27
241,2022,3,เพชรบุรี,340,763,339,752,1,3,2023-06-19 12:07:27
242,2022,3,สุราษฎร์ธานี,833,2441,802,2157,1,5,2023-06-19 12:07:27
243,2022,3,สิงห์บุรี,46,170,46,169,0,1,2023-06-19 12:07:27
244,2022,3,เพชรบูรณ์,258,755,256,752,2,3,2023-06-19 12:07:27
245,2022,3,สุพรรณบุรี,318,735,317,730,1,3,2023-06-19 12:07:27
246,2022,3,ประจวบคีรีขันธ์,517,1425,495,1336,2,2,2023-06-19 12:07:27
247,2022,3,แม่ฮ่องสอน,80,323,80,323,1,6,2023-06-19 12:07:27
248,2022,3,สระบุรี,490,1249,489,1248,0,4,2023-06-19 12:07:27
249,2022,3,นราธิวาส,80,193,80,191,0,0,2023-06-19 12:07:27
250,2022,3,มหาสารคาม,513,1510,512,1503,0,0,2023-06-19 12:07:27
251,2022,3,สมุทรสาคร,933,2143,933,2142,0,1,2023-06-19 12:07:27
252,2022,3,บุรีรัมย์,813,2482,813,2477,3,6,2023-06-19 12:07:27
253,2022,3,ศรีสะเกษ,712,1944,711,1940,3,5,2023-06-19 12:07:27
254,2022,3,ลำปาง,186,818,186,817,0,4,2023-06-19 12:07:27
255,2022,3,นครสวรรค์,487,1248,487,1244,0,6,2023-06-19 12:07:27
256,2022,3,สมุทรสงคราม,108,248,108,248,0,0,2023-06-19 12:07:27
257,2022,3,ร้อยเอ็ด,522,1353,520,1349,0,4,2023-06-19 12:07:27
258,2022,3,นครศรีธรรมราช,1072,3518,1072,3517,1,4,2023-06-19 12:07:27
259,2022,3,แพร่,132,312,131,310,1,2,2023-06-19 12:07:27
260,2022,3,ภูเก็ต,3499,9760,2673,7166,3,5,2023-06-19 12:07:27
261,2022,3,ลำพูน,109,255,109,254,0,0,2023-06-19 12:07:27
262,2022,3,ระยอง,972,2810,969,2788,2,4,2023-06-19 12:07:27
